1、双均线策略-长电,,,,,,,1、双均线策略-长电,,,,,,,,
,,,,,,,,,,,,,,,
,模块,指标,策略,基准,,,,模块,指标,策略,基准,,,,
,整体,夏普比率,-1.13,-1.6,,,,整体,夏普比率,-1.47,-1.6,,,,
,收益,累计收益率,-6.38%,-8.66%,,,,收益,累计收益率,-7.51%,-8.66%,,,,
,,年化收益率,-6.66%,-9.07%,,,,,年化收益率,-7.84%,-9.07%,,,,
,风险,年化波动率,7.66%,7.66%,,,,风险,年化波动率,6.71%,7.66%,,,,
,,最大回撤,-6.42%,-7.83%,,,,,最大回撤,-8.25%,-7.83%,,,,
,交易质量,交易次数,6,,,,,交易质量,交易次数,4,,,,,
,,胜率,33.30%,,,,,,胜率,0.00%,,,,,
,,盈亏比,0.45,,,,,,盈亏比,0,,,,,
,,交易成本占比初始资金,1.76%,,,,,,交易成本占比初始资金,1.15%,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2、双均线策略对比,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,组合,累计收益率,基准累计收益率,年化收益率,超额年化收益,Sharpe,最大回撤,年化波动率,胜率,盈亏比,利润因子,交易次数,交易成本%,,
,长江电力,-6.4%,-8.7%,-6.7%,2.4%,-1.13 ,-6.4%,7.7%,33.3%, 0.45 , 0.22 ,6,0.18%, 0.00 ,
,中芯国际,36.9%,68.7%,40.0%,-35.2%,0.78 ,-23.5%,48.7%,42.9%, 3.36 , 2.52 ,7,0.22%, 0.00 ,
,中际旭创,324.0%,759.7%,352.9%,-495.4%,5.58 ,-23.8%,62.9%,80.0%, 2.69 , 10.75 ,5,0.26%, 0.00 ,
,紫金矿业,23.9%,28.7%,25.1%,-5.1%,0.65 ,-34.4%,35.6%,50.0%, 1.51 , 1.51 ,8,0.34%, 0.00 ,
3、海龟策略对比,,,,,,,,,,,,,, -   ,
,,,,,,,,,,,,,, -   ,
,组合,累计收益率,基准累计收益率,年化收益率,超额年化收益,Sharpe,最大回撤,年化波动率,胜率,盈亏比,利润因子,交易次数,交易成本%,#VALUE!,
,长江电力,-7.5%,-8.7%,-7.8%,1.2%,-1.47 ,-8.2%,6.7%,0.0%, -   , -   ,4,0.12%," 11,549 ", 0.00 
,中芯国际,34.0%,68.7%,36.9%,-38.4%,0.79 ,-21.8%,43.9%,66.7%, 99.50 , 199.00 ,3,0.11%," 10,611 ", 0.00 
,中际旭创,290.7%,759.7%,315.8%,-532.6%,5.08 ,-24.5%,61.8%,75.0%, 4.14 , 12.41 ,4,0.19%," 18,624 ", 0.00 
,紫金矿业,58.8%,28.7%,62.2%,32.0%,1.74 ,-17.5%,34.5%,100.0%,inf, inf ,2,0.08%," 8,186 ", 0.00 
